Date,Campaign_ID,Channel,Impressions,Clicks,Conversions,Cost,Revenue,Month,Week
2024-01-24,CAMP_003,Facebook Ads,1193,24,0,24.6,68.23,January,4
2024-01-25,CAMP_003,Facebook Ads,1188,24,0,24.49,67.93,January,4
2024-01-26,CAMP_003,Facebook Ads,1990,40,0,41.02,113.78,January,4
2024-01-27,CAMP_003,Facebook Ads,1841,37,0,37.94,105.23,January,4
2024-01-28,CAMP_003,Facebook Ads,1615,32,0,33.28,92.32,January,4
2024-01-29,CAMP_003,Facebook Ads,1244,25,0,25.65,71.15,January,5
2024-01-30,CAMP_003,Facebook Ads,1632,33,0,33.64,93.3,January,5
2024-01-31,CAMP_003,Facebook Ads,1614,32,0,33.27,92.28,January,5
2024-02-01,CAMP_003,Facebook Ads,1319,26,0,27.18,75.39,February,5
2024-02-02,CAMP_003,Facebook Ads,1575,31,0,32.46,90.05,February,5
2024-02-03,CAMP_003,Facebook Ads,1540,31,0,31.75,88.06,February,5
2024-02-04,CAMP_003,Facebook Ads,1754,35,0,36.15,100.29,February,5
2024-02-05,CAMP_003,Facebook Ads,1773,36,0,36.55,101.38,February,6
2024-02-06,CAMP_003,Facebook Ads,1193,24,0,24.58,68.19,February,6
2024-02-07,CAMP_003,Facebook Ads,1517,30,0,31.26,86.72,February,6
2024-02-08,CAMP_003,Facebook Ads,1764,35,0,36.36,100.86,February,6
2024-02-09,CAMP_003,Facebook Ads,1643,33,0,33.87,93.95,February,6
2024-02-10,CAMP_003,Facebook Ads,1991,40,0,41.04,113.83,February,6
2024-02-11,CAMP_003,Facebook Ads,1797,36,0,37.02,102.7,February,6
2024-02-12,CAMP_003,Facebook Ads,1309,26,0,26.97,74.81,February,7
2024-02-13,CAMP_003,Facebook Ads,1218,24,0,25.09,69.61,February,7
2024-02-14,CAMP_003,Facebook Ads,1781,36,0,36.69,101.79,February,7
2024-02-15,CAMP_003,Facebook Ads,1174,23,0,24.2,67.13,February,7
2024-02-16,CAMP_003,Facebook Ads,1725,35,0,35.54,98.6,February,7
2024-02-17,CAMP_003,Facebook Ads,2074,42,1,42.73,118.54,February,7
2024-02-18,CAMP_003,Facebook Ads,1715,34,0,35.34,98.02,February,7
2024-02-19,CAMP_003,Facebook Ads,1530,31,0,31.54,87.48,February,8
2024-02-20,CAMP_003,Facebook Ads,1781,36,0,36.71,101.84,February,8
2024-02-21,CAMP_003,Facebook Ads,1599,32,0,32.96,91.43,February,8
2024-02-22,CAMP_003,Facebook Ads,1685,34,0,34.73,96.34,February,8
2024-02-23,CAMP_003,Facebook Ads,2075,42,1,42.76,118.61,February,8
2024-02-24,CAMP_003,Facebook Ads,1528,31,0,31.49,87.37,February,8
2024-02-25,CAMP_003,Facebook Ads,2094,42,1,43.16,119.72,February,8
2024-02-26,CAMP_003,Facebook Ads,2039,41,0,42.03,116.58,February,9
2024-02-27,CAMP_003,Facebook Ads,1341,27,0,27.63,76.66,February,9
2024-02-28,CAMP_003,Facebook Ads,1216,24,0,25.07,69.55,February,9
2024-02-29,CAMP_003,Facebook Ads,1247,25,0,25.71,71.31,February,9
2024-03-01,CAMP_003,Facebook Ads,1166,23,0,24.03,66.67,March,9
2024-03-02,CAMP_003,Facebook Ads,1241,25,0,25.58,70.96,March,9
2024-03-03,CAMP_003,Facebook Ads,1821,36,0,37.52,104.07,March,9
2024-03-04,CAMP_003,Facebook Ads,1218,24,0,25.11,69.65,March,10
2024-03-05,CAMP_003,Facebook Ads,1462,29,0,30.13,83.59,March,10
2024-03-06,CAMP_003,Facebook Ads,1980,40,0,40.8,113.18,March,10
2024-03-07,CAMP_003,Facebook Ads,1171,23,0,24.14,66.95,March,10
2024-03-08,CAMP_003,Facebook Ads,1950,39,0,40.18,111.47,March,10
2024-03-09,CAMP_003,Facebook Ads,1426,28,0,29.38,81.5,March,10
2024-03-10,CAMP_003,Facebook Ads,1264,25,0,26.06,72.29,March,10
2024-03-11,CAMP_003,Facebook Ads,1834,37,0,37.8,104.84,March,11
2024-03-12,CAMP_003,Facebook Ads,1767,35,0,36.42,101.03,March,11
2024-03-13,CAMP_003,Facebook Ads,2012,40,0,41.46,115.01,March,11
2024-03-14,CAMP_003,Facebook Ads,1872,38,0,38.57,107.0,March,11
2024-03-15,CAMP_003,Facebook Ads,1939,39,0,39.96,110.85,March,11
2024-03-16,CAMP_003,Facebook Ads,1426,28,0,29.38,81.51,March,11
2024-03-17,CAMP_003,Facebook Ads,1323,26,0,27.26,75.63,March,11
2024-03-18,CAMP_003,Facebook Ads,1887,38,0,38.89,107.88,March,12
2024-03-19,CAMP_003,Facebook Ads,1942,39,0,40.03,111.04,March,12
2024-03-20,CAMP_003,Facebook Ads,2123,43,1,43.75,121.37,March,12
2024-03-21,CAMP_003,Facebook Ads,1554,31,0,32.03,88.86,March,12
2024-03-22,CAMP_003,Facebook Ads,1514,30,0,31.21,86.57,March,12
2024-03-23,CAMP_003,Facebook Ads,1913,38,0,39.41,109.33,March,12
2024-03-24,CAMP_003,Facebook Ads,1484,30,0,30.58,84.82,March,12
2024-03-25,CAMP_003,Facebook Ads,2064,41,1,42.54,118.01,March,13
2024-03-26,CAMP_003,Facebook Ads,1993,40,0,41.07,113.94,March,13
2024-03-27,CAMP_003,Facebook Ads,1570,31,0,32.36,89.78,March,13
2024-03-28,CAMP_003,Facebook Ads,1887,38,0,38.89,107.89,March,13
2024-03-29,CAMP_003,Facebook Ads,1891,38,0,38.97,108.1,March,13
2024-03-30,CAMP_003,Facebook Ads,1250,25,0,25.76,71.44,March,13
2024-03-31,CAMP_003,Facebook Ads,2037,41,0,41.97,116.42,March,13
2024-04-01,CAMP_003,Facebook Ads,1646,33,0,33.91,94.07,April,14
2024-04-02,CAMP_003,Facebook Ads,1962,39,0,40.43,112.14,April,14
2024-04-03,CAMP_003,Facebook Ads,1463,29,0,30.16,83.65,April,14
2024-04-04,CAMP_003,Facebook Ads,2030,41,0,41.83,116.03,April,14
2024-04-05,CAMP_003,Facebook Ads,1531,31,0,31.56,87.54,April,14
2024-04-06,CAMP_003,Facebook Ads,1159,23,0,23.88,66.25,April,14
2024-04-07,CAMP_003,Facebook Ads,2040,41,0,42.03,116.58,April,14
2024-10-28,CAMP_004,SEO Organic,6380,413,4,0.04,0.22,October,44
2024-10-29,CAMP_004,SEO Organic,7537,488,5,0.05,0.26,October,44
2024-10-30,CAMP_004,SEO Organic,10736,696,7,0.07,0.37,October,44
2024-10-31,CAMP_004,SEO Organic,10739,696,7,0.07,0.37,October,44
2024-11-01,CAMP_004,SEO Organic,8826,572,6,0.06,0.31,November,44
2024-11-02,CAMP_004,SEO Organic,9122,591,6,0.06,0.32,November,44
2024-11-03,CAMP_004,SEO Organic,8192,531,5,0.05,0.28,November,44
2024-11-04,CAMP_004,SEO Organic,7405,480,5,0.05,0.26,November,45
2024-11-05,CAMP_004,SEO Organic,7584,491,5,0.05,0.26,November,45
2024-11-06,CAMP_004,SEO Organic,9329,604,6,0.06,0.32,November,45
2024-11-07,CAMP_004,SEO Organic,9734,631,6,0.06,0.34,November,45
2024-11-08,CAMP_004,SEO Organic,9932,644,6,0.06,0.34,November,45
2024-11-09,CAMP_004,SEO Organic,9922,643,6,0.06,0.34,November,45
2024-11-10,CAMP_004,SEO Organic,6380,413,4,0.04,0.22,November,45
2024-11-11,CAMP_004,SEO Organic,8425,546,5,0.05,0.29,November,46
2024-11-12,CAMP_004,SEO Organic,6209,402,4,0.04,0.21,November,46
2024-11-13,CAMP_004,SEO Organic,8705,564,6,0.06,0.3,November,46
2024-11-14,CAMP_004,SEO Organic,8157,528,5,0.05,0.28,November,46
2024-11-15,CAMP_004,SEO Organic,10420,675,7,0.07,0.36,November,46
2024-11-16,CAMP_004,SEO Organic,7697,499,5,0.05,0.27,November,46
2024-11-17,CAMP_004,SEO Organic,6511,422,4,0.04,0.23,November,46
2024-11-18,CAMP_004,SEO Organic,6643,430,4,0.04,0.23,November,47
2024-11-19,CAMP_004,SEO Organic,9780,634,6,0.06,0.34,November,47
2024-11-20,CAMP_004,SEO Organic,9053,587,6,0.06,0.31,November,47
2024-11-21,CAMP_004,SEO Organic,6430,416,4,0.04,0.22,November,47
2024-11-22,CAMP_004,SEO Organic,6344,411,4,0.04,0.22,November,47
2024-11-23,CAMP_004,SEO Organic,9473,614,6,0.06,0.33,November,47
2024-11-24,CAMP_004,SEO Organic,6286,407,4,0.04,0.22,November,47
2024-11-25,CAMP_004,SEO Organic,10086,653,7,0.07,0.35,November,48
2024-11-26,CAMP_004,SEO Organic,9500,615,6,0.06,0.33,November,48
2024-11-27,CAMP_004,SEO Organic,6330,410,4,0.04,0.22,November,48
2024-11-28,CAMP_004,SEO Organic,6348,411,4,0.04,0.22,November,48
2024-11-29,CAMP_004,SEO Organic,10922,708,7,0.07,0.38,November,48
2024-11-30,CAMP_004,SEO Organic,7816,506,5,0.05,0.27,November,48
2024-12-01,CAMP_004,SEO Organic,7797,505,5,0.05,0.27,December,48
2024-12-02,CAMP_004,SEO Organic,10040,651,7,0.07,0.35,December,49
2024-12-03,CAMP_004,SEO Organic,10722,695,7,0.07,0.37,December,49
2024-12-04,CAMP_004,SEO Organic,10919,707,7,0.07,0.38,December,49
2024-12-05,CAMP_004,SEO Organic,9739,631,6,0.06,0.34,December,49
2024-12-06,CAMP_004,SEO Organic,7826,507,5,0.05,0.27,December,49
2024-12-07,CAMP_004,SEO Organic,6341,411,4,0.04,0.22,December,49
2024-12-08,CAMP_004,SEO Organic,9859,639,6,0.06,0.34,December,49
2024-12-09,CAMP_004,SEO Organic,8750,567,6,0.06,0.3,December,50
2024-12-10,CAMP_004,SEO Organic,8069,523,5,0.05,0.28,December,50
2024-12-11,CAMP_004,SEO Organic,10515,681,7,0.07,0.36,December,50
2024-12-12,CAMP_004,SEO Organic,6481,420,4,0.04,0.22,December,50
2024-12-13,CAMP_004,SEO Organic,8416,545,5,0.05,0.29,December,50
2024-12-14,CAMP_004,SEO Organic,5975,387,4,0.04,0.21,December,50
2024-12-15,CAMP_004,SEO Organic,8294,537,5,0.05,0.29,December,50
2024-06-23,CAMP_005,Google Ads,1796,53,2,72.06,221.23,June,25
2024-06-24,CAMP_005,Google Ads,1888,56,2,75.74,232.54,June,26
2024-06-25,CAMP_005,Google Ads,1886,56,2,75.67,232.31,June,26
2024-06-26,CAMP_005,Google Ads,2667,79,3,106.99,328.49,June,26
2024-06-27,CAMP_005,Google Ads,2809,83,3,112.7,346.01,June,26
2024-06-28,CAMP_005,Google Ads,2570,76,2,103.11,316.58,June,26
2024-06-29,CAMP_005,Google Ads,3127,93,3,125.43,385.1,June,26
2024-06-30,CAMP_005,Google Ads,2264,67,2,90.83,278.86,June,26
2024-07-01,CAMP_005,Google Ads,2133,63,2,85.58,262.73,July,27
2024-07-02,CAMP_005,Google Ads,2989,89,3,119.92,368.18,July,27
2024-07-03,CAMP_005,Google Ads,2042,60,2,81.92,251.5,July,27
2024-07-04,CAMP_005,Google Ads,3128,93,3,125.5,385.29,July,27
2024-07-05,CAMP_005,Google Ads,1731,51,1,69.46,213.25,July,27
2024-07-06,CAMP_005,Google Ads,3138,93,3,125.89,386.5,July,27
2024-07-07,CAMP_005,Google Ads,1777,52,2,71.28,218.85,July,27
2024-07-08,CAMP_005,Google Ads,3022,90,3,121.25,372.25,July,28
2024-07-09,CAMP_005,Google Ads,2488,74,2,99.83,306.51,July,28
2024-07-10,CAMP_005,Google Ads,3172,94,3,127.25,390.67,July,28
2024-07-11,CAMP_005,Google Ads,1822,54,2,73.09,224.4,July,28
2024-07-12,CAMP_005,Google Ads,2527,75,2,101.38,311.24,July,28
2024-07-13,CAMP_005,Google Ads,3137,93,3,125.85,386.39,July,28
2024-07-14,CAMP_005,Google Ads,2482,73,2,99.56,305.67,July,28
2024-07-15,CAMP_005,Google Ads,2638,78,2,105.83,324.9,July,29
2024-07-16,CAMP_005,Google Ads,2735,81,3,109.74,336.91,July,29
2024-07-17,CAMP_005,Google Ads,2381,70,2,95.52,293.27,July,29
2024-07-18,CAMP_005,Google Ads,2635,78,2,105.72,324.57,July,29
2024-07-19,CAMP_005,Google Ads,2572,76,2,103.17,316.75,July,29
2024-07-20,CAMP_005,Google Ads,3037,90,3,121.84,374.06,July,29
2024-07-21,CAMP_005,Google Ads,1780,53,2,71.42,219.27,July,29
2024-07-22,CAMP_005,Google Ads,2126,63,2,85.3,261.87,July,30
2024-07-23,CAMP_005,Google Ads,3109,92,3,124.74,382.97,July,30
2024-07-24,CAMP_005,Google Ads,3021,90,3,121.2,372.09,July,30
2024-07-25,CAMP_005,Google Ads,2383,71,2,95.59,293.47,July,30
2024-07-26,CAMP_005,Google Ads,2624,78,2,105.28,323.23,July,30
2024-07-27,CAMP_005,Google Ads,2121,63,2,85.09,261.23,July,30
2024-07-28,CAMP_005,Google Ads,1990,59,2,79.83,245.08,July,30
2024-07-29,CAMP_005,Google Ads,2394,71,2,96.06,294.93,July,31
2024-07-30,CAMP_005,Google Ads,2232,66,2,89.56,274.97,July,31
2024-07-31,CAMP_005,Google Ads,2571,76,2,103.13,316.63,July,31
2024-08-01,CAMP_005,Google Ads,1827,54,2,73.32,225.11,August,31
2024-08-02,CAMP_005,Google Ads,3145,93,3,126.15,387.31,August,31
2024-08-03,CAMP_005,Google Ads,3162,94,3,126.85,389.45,August,31
2024-08-04,CAMP_005,Google Ads,2739,81,3,109.88,337.34,August,31
2024-08-05,CAMP_005,Google Ads,2501,74,2,100.33,308.03,August,32
2024-08-06,CAMP_005,Google Ads,2168,64,2,86.98,267.04,August,32
2024-08-07,CAMP_005,Google Ads,2909,86,3,116.69,358.26,August,32
2024-08-08,CAMP_005,Google Ads,2719,81,3,109.09,334.91,August,32
2024-08-09,CAMP_005,Google Ads,1952,58,2,78.32,240.46,August,32
2024-08-10,CAMP_005,Google Ads,3051,90,3,122.41,375.83,August,32
2024-02-19,CAMP_006,Instagram Ads,8726,415,6,466.61,907.62,February,8
2024-02-20,CAMP_006,Instagram Ads,9284,441,7,496.46,965.69,February,8
2024-02-21,CAMP_006,Instagram Ads,8301,395,6,443.9,863.44,February,8
2024-02-22,CAMP_006,Instagram Ads,7808,371,6,417.55,812.2,February,8
2024-02-23,CAMP_006,Instagram Ads,6952,330,5,371.77,723.15,February,8
2024-02-24,CAMP_006,Instagram Ads,9209,438,7,492.45,957.9,February,8
2024-02-25,CAMP_006,Instagram Ads,8917,424,6,476.82,927.48,February,8
2024-02-26,CAMP_006,Instagram Ads,5316,252,4,284.27,552.95,February,9
2024-02-27,CAMP_006,Instagram Ads,5233,249,4,279.85,544.35,February,9
2024-02-28,CAMP_006,Instagram Ads,6769,322,5,361.97,704.09,February,9
2024-02-29,CAMP_006,Instagram Ads,8673,412,6,463.8,902.15,February,9
2024-03-01,CAMP_006,Instagram Ads,9448,449,7,505.25,982.79,March,9
2024-03-02,CAMP_006,Instagram Ads,5777,274,4,308.95,600.95,March,9
2024-03-03,CAMP_006,Instagram Ads,7724,367,6,413.03,803.4,March,9
2024-03-04,CAMP_006,Instagram Ads,6788,323,5,363.01,706.11,March,10
2024-03-05,CAMP_006,Instagram Ads,9372,446,7,501.18,974.86,March,10
2024-03-06,CAMP_006,Instagram Ads,8812,419,6,471.2,916.55,March,10
2024-03-07,CAMP_006,Instagram Ads,8795,418,6,470.31,914.82,March,10
2024-03-08,CAMP_006,Instagram Ads,7174,341,5,383.61,746.17,March,10
2024-03-09,CAMP_006,Instagram Ads,6937,330,5,370.97,721.59,March,10
2024-03-10,CAMP_006,Instagram Ads,6317,300,4,337.8,657.07,March,10
2024-03-11,CAMP_006,Instagram Ads,5365,255,4,286.89,558.04,March,11
2024-03-12,CAMP_006,Instagram Ads,8911,424,6,476.5,926.87,March,11
2024-03-13,CAMP_006,Instagram Ads,8684,413,6,464.35,903.22,March,11
2024-03-14,CAMP_006,Instagram Ads,9503,452,7,508.17,988.46,March,11
2024-03-15,CAMP_006,Instagram Ads,9490,451,7,507.44,987.06,March,11
2024-03-16,CAMP_006,Instagram Ads,7554,359,5,403.95,785.75,March,11
2024-03-17,CAMP_006,Instagram Ads,8491,404,6,454.05,883.19,March,11
2024-03-18,CAMP_006,Instagram Ads,9262,440,7,495.28,963.39,March,12
2024-03-19,CAMP_006,Instagram Ads,8845,420,6,472.97,919.99,March,12
2024-03-20,CAMP_006,Instagram Ads,6203,295,4,331.68,645.18,March,12
2024-03-21,CAMP_006,Instagram Ads,7094,337,5,379.35,737.89,March,12
2024-03-22,CAMP_006,Instagram Ads,5684,270,4,303.96,591.25,March,12
2024-03-23,CAMP_006,Instagram Ads,9303,442,7,497.46,967.63,March,12
2024-03-24,CAMP_006,Instagram Ads,7777,370,6,415.85,808.9,March,12
2024-03-25,CAMP_006,Instagram Ads,6120,291,4,327.3,636.64,March,13
2024-03-26,CAMP_006,Instagram Ads,8064,383,6,431.22,838.8,March,13
2024-03-27,CAMP_006,Instagram Ads,7829,372,6,418.66,814.35,March,13
2024-03-28,CAMP_006,Instagram Ads,6689,318,5,357.68,695.74,March,13
2024-03-29,CAMP_006,Instagram Ads,5616,267,4,300.3,584.13,March,13
2024-03-30,CAMP_006,Instagram Ads,8064,383,6,431.19,838.74,March,13
2024-03-31,CAMP_006,Instagram Ads,7400,352,5,395.71,769.72,March,13
2024-04-01,CAMP_006,Instagram Ads,8506,404,6,454.83,884.71,April,14
2024-04-02,CAMP_006,Instagram Ads,7399,352,5,395.68,769.65,April,14
2024-04-03,CAMP_006,Instagram Ads,8856,421,6,473.56,921.15,April,14
2024-04-04,CAMP_006,Instagram Ads,7539,358,5,403.12,784.14,April,14
2024-04-05,CAMP_006,Instagram Ads,7578,360,5,405.24,788.26,April,14
2024-04-06,CAMP_006,Instagram Ads,8963,426,7,479.3,932.31,April,14
2024-04-07,CAMP_006,Instagram Ads,6887,327,5,368.31,716.42,April,14
2024-04-08,CAMP_006,Instagram Ads,5705,271,4,305.1,593.47,April,15
2024-04-09,CAMP_006,Instagram Ads,5244,249,4,280.42,545.45,April,15
2024-04-10,CAMP_006,Instagram Ads,8430,401,6,450.8,876.87,April,15
2024-04-11,CAMP_006,Instagram Ads,7839,373,6,419.17,815.35,April,15
2024-04-12,CAMP_006,Instagram Ads,8206,390,6,438.82,853.57,April,15
2024-04-13,CAMP_006,Instagram Ads,6052,288,4,323.62,629.49,April,15
2024-04-14,CAMP_006,Instagram Ads,5716,272,4,305.65,594.54,April,15
2024-04-15,CAMP_006,Instagram Ads,5181,246,4,277.08,538.95,April,16
2024-04-16,CAMP_006,Instagram Ads,6655,316,5,355.9,692.28,April,16
2024-04-17,CAMP_006,Instagram Ads,7705,366,6,412.04,801.48,April,16
2024-08-23,CAMP_007,SEO Organic,1211,59,1,0.01,0.04,August,34
2024-08-24,CAMP_007,SEO Organic,1246,61,1,0.01,0.04,August,34
2024-08-25,CAMP_007,SEO Organic,1608,79,2,0.01,0.05,August,34
2024-08-26,CAMP_007,SEO Organic,1176,57,1,0.01,0.04,August,35
2024-08-27,CAMP_007,SEO Organic,1305,64,1,0.01,0.04,August,35
2024-08-28,CAMP_007,SEO Organic,1515,74,2,0.01,0.05,August,35
2024-08-29,CAMP_007,SEO Organic,1214,59,1,0.01,0.04,August,35
2024-08-30,CAMP_007,SEO Organic,1389,68,1,0.01,0.04,August,35
2024-08-31,CAMP_007,SEO Organic,1576,77,2,0.01,0.05,August,35
2024-09-01,CAMP_007,SEO Organic,1643,80,2,0.01,0.05,September,35
2024-09-02,CAMP_007,SEO Organic,1020,50,1,0.0,0.03,September,36
2024-09-03,CAMP_007,SEO Organic,1626,79,2,0.01,0.05,September,36
2024-09-04,CAMP_007,SEO Organic,1288,63,1,0.01,0.04,September,36
2024-09-05,CAMP_007,SEO Organic,1106,54,1,0.01,0.03,September,36
2024-09-06,CAMP_007,SEO Organic,1263,62,1,0.01,0.04,September,36
2024-09-07,CAMP_007,SEO Organic,1667,81,2,0.01,0.05,September,36
2024-09-08,CAMP_007,SEO Organic,1289,63,1,0.01,0.04,September,36
2024-09-09,CAMP_007,SEO Organic,1161,57,1,0.01,0.04,September,37
2024-09-10,CAMP_007,SEO Organic,1398,68,1,0.01,0.04,September,37
2024-09-11,CAMP_007,SEO Organic,1092,53,1,0.01,0.03,September,37
2024-09-12,CAMP_007,SEO Organic,965,47,1,0.0,0.03,September,37
2024-09-13,CAMP_007,SEO Organic,1006,49,1,0.0,0.03,September,37
2024-09-14,CAMP_007,SEO Organic,1005,49,1,0.0,0.03,September,37
2024-09-15,CAMP_007,SEO Organic,1024,50,1,0.01,0.03,September,37
2024-09-16,CAMP_007,SEO Organic,1014,49,1,0.0,0.03,September,38
2024-09-17,CAMP_007,SEO Organic,1404,68,1,0.01,0.04,September,38
2024-09-18,CAMP_007,SEO Organic,1047,51,1,0.01,0.03,September,38
2024-09-19,CAMP_007,SEO Organic,1174,57,1,0.01,0.04,September,38
2024-09-20,CAMP_007,SEO Organic,1603,78,2,0.01,0.05,September,38
2024-09-21,CAMP_007,SEO Organic,1274,62,1,0.01,0.04,September,38
2024-09-22,CAMP_007,SEO Organic,1424,69,2,0.01,0.04,September,38
2024-09-23,CAMP_007,SEO Organic,1040,51,1,0.01,0.03,September,39
2024-09-24,CAMP_007,SEO Organic,1055,51,1,0.01,0.03,September,39
2024-09-25,CAMP_007,SEO Organic,938,46,1,0.0,0.03,September,39
2024-09-26,CAMP_007,SEO Organic,1037,50,1,0.01,0.03,September,39
2024-09-27,CAMP_007,SEO Organic,1122,55,1,0.01,0.04,September,39
2024-09-28,CAMP_007,SEO Organic,1043,51,1,0.01,0.03,September,39
2024-09-29,CAMP_007,SEO Organic,975,47,1,0.0,0.03,September,39
2024-09-30,CAMP_007,SEO Organic,1000,49,1,0.0,0.03,September,40
2024-10-01,CAMP_007,SEO Organic,1264,62,1,0.01,0.04,October,40
2024-10-02,CAMP_007,SEO Organic,1066,52,1,0.01,0.03,October,40
2024-10-03,CAMP_007,SEO Organic,1189,58,1,0.01,0.04,October,40
2024-10-04,CAMP_007,SEO Organic,1297,63,1,0.01,0.04,October,40
